"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21","1,771.60","1,906.80","1,919.20","1,750.10","4.62M","-7.02%"
"May 21","1,905.30","1,770.40","1,915.60","1,768.50","1.41M","7.66%"
"Apr 21","1,769.80","1,711.40","1,800.00","1,708.80","92.11K","3.05%"
"Mar 21","1,717.50","1,738.10","1,762.00","1,678.40","73.84K","-0.95%"
"Feb 21","1,734.00","1,864.60","1,874.60","1,720.80","33.87K","-6.51%"
"Jan 21","1,854.70","1,927.20","1,971.50","1,810.00","34.03K","-2.68%"
"Dec 20","1,905.80","1,789.40","1,920.90","1,789.40","22.12K","6.46%"
"Nov 20","1,790.20","1,896.80","1,978.40","1,776.60","9.24K","-5.77%"
"Oct 20","1,899.90","1,927.60","1,957.70","1,884.00","3.64K","-0.77%"
"Sep 20","1,914.60","2,018.60","2,018.60","1,872.00","5.32K","-4.23%"
"Aug 20","1,999.10","2,026.90","2,120.00","1,913.00","4.46K","-0.89%"
"Jul 20","2,017.10","1,830.00","2,035.00","1,830.00","5.43K","10.03%"
"Jun 20","1,833.20","1,774.50","1,835.00","1,727.50","4.91K","3.35%"
"May 20","1,773.80","1,720.10","1,795.40","1,720.10","1.37K","3.74%"
"Apr 20","1,709.90","1,747.50","1,779.10","1,709.50","0.08K","6.69%"
"Mar 20","1,602.70","1,485.00","1,503.00","1,485.00","0.05K","0.38%"
"Feb 20","1,596.60","1,606.00","1,707.40","1,595.20","0.05K","-1.81%"
"Jan 20","1,626.10","1,595.00","1,595.00","1,595.00","0.00K","3.73%"
"Dec 19","1,567.60","1,515.90","1,544.20","1,497.20","0.02K","3.77%"
"Nov 19","1,510.70","1,534.70","1,534.70","1,534.70","0.00K","-2.97%"
"Oct 19","1,556.90","1,548.80","1,556.70","1,548.80","0.00K","2.80%"
"Sep 19","1,514.50","1,575.80","1,575.80","1,536.70","0.03K","-3.11%"
"Aug 19","1,563.10","1,450.20","1,582.40","1,450.20","0.01K","6.10%"
"Jul 19","1,473.30","1,444.50","1,474.20","1,444.50","0.04K","1.40%"
"Jun 19","1,452.90","1,373.10","1,422.60","1,373.10","0.02K","7.03%"
"May 19","1,357.50","1,334.20","1,350.20","1,320.10","0.03K","1.28%"
"Apr 19","1,340.40","1,342.70","1,363.90","1,323.80","0.07K","-0.74%"
"Mar 19","1,350.40","1,350.00","1,368.20","1,342.20","0.19K","-1.81%"
"Feb 19","1,375.30","1,382.60","1,388.00","1,374.00","0.30K","-0.63%"
"Jan 19","1,384.00","1,351.80","1,377.60","1,351.80","0.28K","2.74%"
"Dec 18","1,347.10","1,313.90","1,343.00","1,309.50","0.03K","4.21%"
"Nov 18","1,292.70","1,289.70","1,289.70","1,289.70","0.15K","0.35%"
"Oct 18","1,288.20","1,271.20","1,296.70","1,271.20","0.12K","1.54%"
"Sep 18","1,268.70","1,266.10","1,271.90","1,260.00","0.10K","-0.70%"
"Aug 18","1,277.70","1,308.00","1,308.00","1,265.80","0.07K","-2.45%"
"Jul 18","1,309.80","1,327.00","1,327.00","1,301.90","0.12K","-2.52%"
"Jun 18","1,343.70","1,392.40","1,392.40","1,353.70","0.03K","-3.68%"
"May 18","1,395.00","1,413.50","1,413.50","1,405.30","0.10K","-1.70%"
"Apr 18","1,419.10","1,460.10","1,460.10","1,442.00","0.02K","-0.48%"
"Mar 18","1,426.00","1,433.40","1,433.40","1,433.40","0.01K","0.48%"
"Feb 18","1,419.20","1,419.20","1,419.20","1,419.20","9.63K","-1.40%"
"Jan 18","1,439.40","1,399.00","1,399.00","1,398.00","0.00K","3.41%"
"Dec 17","1,391.90","1,327.60","1,372.10","1,327.60","0.08K","2.55%"
"Nov 17","1,357.30","1,382.00","1,382.00","1,382.00","0.13K","0.71%"
"Oct 17","1,347.70","1,353.30","1,382.00","1,351.70","0.01K","-0.73%"
"Sep 17","1,357.60","1,406.60","1,406.60","1,367.30","0.15K","-2.23%"
"Aug 17","1,388.50","1,326.40","1,393.70","1,326.40","0.01K","3.57%"
"Jul 17","1,340.70","1,289.90","1,323.60","1,282.30","0.03K","2.03%"
"Jun 17","1,314.00","1,342.80","1,342.80","1,313.70","0.01K","-2.56%"
"May 17","1,348.50","1,326.90","1,340.00","1,303.20","0.06K","0.10%"
"Apr 17","1,347.10","1,333.10","1,378.00","1,333.10","0.01K","1.30%"
"Mar 17","1,329.80","1,307.60","1,344.00","1,294.00","0.09K","-0.34%"
"Feb 17","1,334.30","1,289.00","1,323.90","1,289.00","0.05K","3.29%"
"Jan 17","1,291.80","1,232.40","1,299.60","1,232.40","0.05K","4.64%"
"Dec 16","1,234.50","1,236.70","1,239.00","1,236.70","0.02K","-0.31%"
"Nov 16","1,238.40","1,334.00","1,334.00","1,334.00","0.16K","-7.15%"
"Oct 16","1,333.70","1,333.70","1,333.70","1,333.70","0.00K","-2.68%"
"Sep 16","1,370.40","1,386.70","1,386.70","1,378.00","0.31K","0.18%"
"Aug 16","1,367.90","1,409.90","1,410.70","1,384.40","0.06K","-3.38%"
"Jul 16","1,415.70","1,402.80","1,402.80","1,402.80","0.41K","2.96%"
"Jun 16","1,375.00","1,375.00","1,375.00","1,375.00","0.06K","8.33%"
"May 16","1,269.30","1,269.30","1,269.30","1,269.30","0.00K","-5.37%"
"Apr 16","1,341.40","1,341.40","1,341.40","1,341.40","0.30K","4.72%"
"Mar 16","1,280.90","1,304.00","1,304.00","1,269.70","0.01K","0.60%"
"Feb 16","1,273.30","1,220.40","1,269.00","1,220.40","0.01K","9.59%"
"Jan 16","1,161.90","1,161.90","1,161.90","1,161.90","0.00K","3.65%"
"Dec 15","1,121.00","1,121.00","1,121.00","1,121.00","9.97K","-0.26%"
"Nov 15","1,123.90","1,131.00","1,138.40","1,131.00","0.02K","-5.97%"
"Oct 15","1,195.20","1,195.20","1,195.20","1,195.20","0.15K","0.98%"
"Sep 15","1,183.60","1,188.40","1,188.40","1,188.40","0.00K","-2.74%"
"Aug 15","1,216.90","1,216.90","1,216.90","1,216.90","12.82K","2.86%"
"Jul 15","1,183.10","1,268.50","1,268.50","1,268.00","0.00K","-6.90%"
"Jun 15","1,270.80","1,264.00","1,266.80","1,263.00","0.01K","-0.77%"
