"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21","144.150","188.058","197.602","105.117","518.40M","-23.39%"
"May 21","188.169","271.150","412.802","118.471","4.95B","-30.59%"
"Apr 21","271.080","196.671","335.268","192.371","5.37B","37.84%"
"Mar 21","196.661","165.148","230.087","163.371","4.06B","19.10%"
"Feb 21","165.119","129.401","247.073","126.002","4.34B","27.60%"
"Jan 21","129.400","124.162","185.671","112.897","9.66B","4.22%"
"Dec 20","124.162","87.617","139.408","70.010","6.94B","41.63%"
"Nov 20","87.664","55.732","93.952","51.502","1.97B","57.30%"
"Oct 20","55.730","46.266","60.568","43.299","383.58M","20.47%"
"Sep 20","46.258","60.957","64.273","41.932","377.13M","-24.11%"
"Aug 20","60.957","58.160","68.877","51.726","432.97M","4.82%"
"Jul 20","58.156","41.194","59.207","40.391","358.66M","41.17%"
"Jun 20","41.196","45.611","49.930","39.323","267.79M","-9.68%"
"May 20","45.611","46.390","49.929","39.575","360.64M","-1.70%"
"Apr 20","46.400","39.058","50.800","37.200","472.46M","18.74%"
"Mar 20","39.078","58.078","63.813","24.353","421.22M","-32.71%"
"Feb 20","58.078","68.041","84.086","58.078","328.93M","-14.65%"
"Jan 20","68.044","41.288","81.213","38.972","254.16M","64.81%"
"Dec 19","41.287","47.523","47.523","35.944","298.22M","-13.12%"
"Nov 19","47.523","58.430","65.384","42.513","363.24M","-18.67%"
"Oct 19","58.429","55.976","62.446","47.605","340.03M","4.41%"
"Sep 19","55.961","64.282","79.936","51.163","288.32M","-12.93%"
"Aug 19","64.271","98.781","106.384","58.552","297.24M","-34.94%"
"Jul 19","98.781","123.034","126.885","76.708","355.75M","-19.69%"
"Jun 19","122.993","114.478","145.500","98.578","377.44M","7.44%"
"May 19","114.479","74.228","121.587","71.824","501.95M","54.21%"
"Apr 19","74.235","60.782","97.788","60.339","333.67M","22.13%"
"Mar 19","60.785","45.822","63.161","44.984","378.66M","32.66%"
"Feb 19","45.820","31.429","53.406","30.872","250.79M","45.80%"
"Jan 19","31.428","29.899","40.800","29.378","181.78M","5.14%"
"Dec 18","29.893","32.182","60.670","22.362","125.20M","-7.25%"
"Nov 18","32.228","49.952","56.805","27.669","97.39M","-35.47%"
"Oct 18","49.943","61.225","62.137","48.161","83.04M","-18.43%"
"Sep 18","61.224","62.033","69.383","47.344","99.54M","-1.30%"
"Aug 18","62.033","78.966","79.100","48.926","73.97M","-21.44%"
"Jul 18","78.961","81.278","94.662","74.757","44.94M","-2.84%"
"Jun 18","81.272","118.463","127.863","72.672","41.90M","-31.39%"
"May 18","118.462","148.304","183.877","110.033","37.18M","-20.13%"
"Apr 18","148.327","116.333","166.026","109.881","41.01M","27.49%"
"Mar 18","116.340","202.227","217.881","109.975","59.99M","-42.41%"
"Feb 18","202.010","163.880","251.122","104.906","72.28M","23.27%"
"Jan 18","163.879","227.170","304.000","135.000","62.98M","-27.86%"
"Dec 17","227.170","85.820","420.000","82.000","161.18M","164.71%"
"Nov 17","85.820","55.410","103.540","50.250","74.86M","54.88%"
"Oct 17","55.410","55.260","69.590","48.150","43.96M","0.27%"
"Sep 17","55.260","73.230","98.280","33.560","103.03M","-24.54%"
"Aug 17","73.230","42.270","74.800","41.180","41.11M","73.24%"
"Jul 17","42.270","39.490","57.750","34.780","53.56M","7.04%"
"Jun 17","39.490","25.880","49.990","24.420","67.72M","52.59%"
"May 17","25.880","16.200","38.910","15.500","71.74M","59.75%"
"Apr 17","16.200","7.250","16.740","6.650","34.48M","123.45%"
"Mar 17","7.250","3.850","9.900","3.690","4.99M","88.31%"
"Feb 17","3.850","4.070","4.150","3.620","672.51K","-5.41%"
"Jan 17","4.070","4.360","5.990","3.650","397.32K","-6.65%"
"Dec 16","4.360","3.840","5.140","3.320","153.67K","13.54%"
"Nov 16","3.840","3.980","4.500","3.510","149.80K","-3.52%"
"Oct 16","3.980","3.810","4.250","3.700","110.11K","4.46%"
"Sep 16","3.810","3.740","6.720","3.260","122.61K","1.87%"
