"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21","26.194","28.080","28.735","25.580","446.89K","-6.50%"
"May 21","28.014","25.990","28.900","25.850","1.41M","8.10%"
"Apr 21","25.915","24.460","26.727","24.273","39.25K","5.64%"
"Mar 21","24.532","26.700","27.175","23.740","1.47M","-7.22%"
"Feb 21","26.440","28.410","30.040","25.980","653.35K","-1.90%"
"Jan 21","26.953","26.825","28.150","24.095","71.47K","1.81%"
"Dec 20","26.473","22.810","27.595","22.755","40.39K","16.82%"
"Nov 20","22.661","23.720","26.275","22.065","25.20K","-5.18%"
"Oct 20","23.900","23.850","25.885","22.875","15.66K","0.74%"
"Sep 20","23.724","29.080","29.315","22.125","5.87K","-17.79%"
"Aug 20","28.859","25.575","30.595","24.250","7.23K","15.90%"
"Jul 20","24.899","18.975","26.745","18.525","2.89K","30.79%"
"Jun 20","19.038","19.155","19.155","18.030","2.26K","1.35%"
"May 20","18.785","15.245","18.160","15.035","0.26K","23.04%"
"Apr 20","15.268","15.800","16.470","15.025","1.48K","6.54%"
"Mar 20","14.331","17.415","17.415","12.085","0.10K","-14.75%"
"Feb 20","16.811","18.725","18.865","16.900","0.06K","-8.99%"
"Jan 20","18.472","18.472","18.472","18.472","0.02K","0.37%"
"Dec 19","18.404","18.404","18.404","18.404","0.02K","4.41%"
"Nov 19","17.626","17.626","17.626","17.626","0.00K","-5.74%"
"Oct 19","18.699","18.699","18.699","18.699","41.47K","6.35%"
"Sep 19","17.583","18.130","18.130","17.600","0.03K","-6.85%"
"Aug 19","18.877","16.890","16.910","16.890","0.00K","10.70%"
"Jul 19","17.053","17.053","17.053","17.053","88.92K","6.97%"
"Jun 19","15.942","15.942","15.942","15.942","0.00K","4.48%"
"May 19","15.259","15.185","15.200","14.470","38.34K","-3.15%"
"Apr 19","15.756","15.295","15.485","14.880","31.72K","3.01%"
"Mar 19","15.295","15.750","15.835","15.135","13.46K","-1.56%"
"Feb 19","15.538","16.010","16.070","15.520","18.49K","-3.02%"
"Jan 19","16.022","15.520","16.140","15.140","0.58K","3.82%"
"Dec 18","15.433","14.210","15.445","14.185","1.75K","9.50%"
"Nov 18","14.094","14.580","14.645","13.945","24.66K","-0.95%"
"Oct 18","14.229","14.350","14.740","14.215","0.88K","-2.69%"
"Sep 18","14.623","14.450","14.555","13.910","3.86K","1.28%"
"Aug 18","14.438","15.420","15.455","14.395","17.36K","-6.85%"
