date;price_bitcoin;price_eur;price_gbp;price_jpy;price_ethereum;price_litecoin;price_xrp
2011-01;0;0;0;0;0;0;0
2011-02;0,8;0,008475815;0,015173275;0,003668379;0;0;0
2011-03;0,6;0,034999269;0,000999063;-0,01286831;0;0;0
2011-04;6;0,081323981;0,042834842;0,010712966;0;0;0
2011-05;16,4;0,051731697;0,027099594;0,00686948;0;0;0
2011-06;31,2;0,059769107;0,001998127;0,019374069;0;0;0
2011-07;25,8;0,051804764;0,025163909;0,06972501;0;0;0
2011-08;15,4;0,050489551;0,014798626;0,071680376;0;0;0
2011-09;9,2;-0,022066345;-0,027037153;0,065420561;0;0;0
2011-10;5,6;0,012421453;0,004558227;0,049616368;0;0;0
2011-11;5;-0,017901505;-0,020043709;0,059096774;0;0;0
2011-12;8,4;-0,05414292;-0,029971901;0,066805303;0;0;0
2012-01;10;-0,04442496;-0,016172338;0,077306733;0;0;0
2012-02;8,8;-0,026450387;-0,006181705;0,010588525;0;0;0
2012-03;8,8;-0,025062107;-0,000312207;-0,008575915;0;0;0
2012-04;8,8;-0,032588046;0,013487356;0,028829281;0;0;0
2012-05;9,4;-0,0971796;-0,038214174;0,047606892;0;0;0
2012-06;12,4;-0,075113254;-0,019356853;0,028958255;0;0;0
2012-07;17,8;-0,10105217;-0,021167655;0,050825759;0;0;0
2012-08;19,4;-0,081177846;-0,009428661;0,047339543;0;0;0
2012-09;23,8;-0,060499781;0,009303778;0,053658537;0;0;0
2012-10;21,4;-0,053193044;0,007055885;0,029087262;0;0;0
2012-11;24,2;-0,051293292;-0,000312207;-0,004487568;0;0;0
2012-12;26;-0,035949145;0,014736185;-0,053723772;0;0;0
2013-01;39,8;-0,007891276;-0,010053075;-0,105102486;0;0;0
2013-02;65,8;-0,046032442;-0,053387449;-0,112936345;0;0;0
2013-03;185;-0,063422476;-0,050827349;-0,128569912;0;0;0
2013-04;277,4;-0,037995031;-0,030221667;-0,157376039;0;0;0
2013-05;256,6;-0,050489551;-0,051014674;-0,182958391;0;0;0
2013-06;194;-0,049539676;-0,050265376;-0,171912833;0;0;0
2013-07;211,4;-0,028204004;-0,050515142;-0,161250766;0;0;0
2013-08;281;-0,034049394;-0,031657821;-0,163728986;0;0;0
2013-09;282,8;-0,011836914;0,010552607;-0,164239894;0;0;0
2013-10;421,4;-0,007599006;0,001561037;-0,165429588;0;0;0
2013-11;2410,4;-0,007087535;0,021854511;-0,19851577;0;0;0
2013-12;1610,8;0,004310975;0,03378083;-0,220512821;0;0;0
2014-01;1876,6;-0,014686541;0,026038089;-0,195530726;0;0;0
2014-02;1146,8;0,008475815;0,045457384;-0,193713163;0;0;0
2014-03;888,4;0,006137659;0,040399625;-0,204574087;0;0;0
2014-04;890,2;0,013152126;0,053387449;-0,197183099;0;0;0
2014-05;1254,8;-0,004091773;0,045894474;-0,193554726;0;0;0
2014-06;1269,2;0,000365337;0,06793631;-0,189733465;0;0;0
2014-07;1178;-0,021774076;0,05426163;-0,201478743;0;0;0
2014-08;962,6;-0,040479322;0,03634093;-0,211148486;0;0;0
2014-09;775,4;-0,077086073;0,012300968;-0,251368114;0;0;0
2014-10;674,8;-0,084904282;-0,001248829;-0,269100623;0;0;0
2014-11;748,8;-0,090311267;-0,023040899;-0,30798415;0;0;0
2014-12;635,4;-0,116104048;-0,027599126;-0,314171123;0;0;0
2015-01;436;-0,175361683;-0,059256947;-0,301089918;0;0;0
2015-02;507,2;-0,182156949;-0,036403372;-0,313195548;0;0;0
2015-03;487,2;-0,21598714;-0,074867312;-0,316683317;0;0;-0,34295416
2015-04;470,6;-0,180037995;-0,041586013;-0,312217195;0;0;-0,278438031
2015-05;458,6;-0,197208827;-0,045394942;-0,338651197;0;0;-0,235993209
2015-06;527,2;-0,186394856;-0,019356853;-0,329904482;0;0;-0,066213922
2015-07;566,4;-0,197208827;-0,024539494;-0,337637185;0;0;-0,269949066
2015-08;458;-0,180841736;-0,042023103;-0,322884013;0;0;-0,41426146
2015-09;470,8;-0,183399094;-0,055448017;-0,315086782;0;0;-0,530560272
2015-10;621,4;-0,195893614;-0,036653138;-0,319459415;0;0;-0,573005093
2015-11;755;-0,228189391;-0,060006244;-0,333116672;0;0;-0,660441426
2015-12;859;-0,206488382;-0,079737746;-0,317705736;0;0;-0,558573854
2016-01;738,6;-0,208388134;-0,110521386;-0,321821036;0;0;-0,477928693
2016-02;871,4;-0,205684641;-0,131127068;-0,27143618;0;0;-0,312393888
2016-03;830,4;-0,168639486;-0,103465501;-0,270788913;0;0;-0,371816638
2016-04;896;-0,163086366;-0,087667811;-0,228208745;0;0;-0,415959253
2016-05;1056,8;-0,18683326;-0,096034967;-0,258402602;0,579481398;0;-0,527164686
2016-06;1339;-0,188659944;-0,169153918;-0,20503632;0,409244645;0;-0,439728353
2016-07;1242,8;-0,183837498;-0,174149235;-0,195688388;0,337091319;0;-0,490662139
2016-08;1146,8;-0,184860441;-0,179706525;-0,206343067;0,311161218;0;-0,490662139
2016-09;1215,2;-0,178868917;-0,189822042;-0,189973354;0,499436302;0;-0,269949066
2016-10;1396,4;-0,197793365;-0,235591633;-0,216868619;0,235625705;0,044619423;-0,322580645
2016-11;1484;-0,226581909;-0,21923197;-0,282768263;-0,028184893;0,007874016;-0,423599321
2016-12;1925,8;-0,231842759;-0,229722135;-0,297681184;-0,098083427;0,144356955;-0,447368421
2017-01;1930;-0,211237761;-0,214673743;-0,272211385;0,207440812;0,06824147;-0,455857385
2017-02;2377,6;-0,227312582;-0,226974711;-0,272017738;0,788049605;0,010498688;-0,527164686
2017-03;2157,2;-0,221905597;-0,21667187;-0,263063387;4,605411499;0,902887139;0,81663837
2017-04;2702,8;-0,203931024;-0,191632844;-0,264054514;8,414881623;3,251968504;3,429541596
2017-05;4605,6;-0,178649715;-0,195254449;-0,258871332;23,61555806;5,792650919;20,01018676
2017-06;4960,2;-0,165351454;-0,186699969;-0,269425901;30,07328072;9,364829396;19,93378608
2017-07;5765,6;-0,134882362;-0,175023416;-0,255510204;21,63923337;10,09448819;12,98981324
2017-08;9469,2;-0,129913781;-0,192694349;-0,253546744;42,66403608;18,22047244;21,01188455
2017-09;8720,2;-0,136928248;-0,163534187;-0,270205388;33,2096956;13,50393701;15,96943973
2017-10;12901,4;-0,149203566;-0,170652513;-0,277591973;33,2378805;13,54330709;15,76570458
2017-11;19892,6;-0,130352185;-0,155479238;-0,270529684;47,72717024;21,52493438;19
2017-12;27699,8;-0,123483852;-0,156290977;-0,271500843;82,06313416;58,62467192;167,0814941
2018-01;20529,8;-0,092503288;-0,113955667;-0,248145095;125,0518602;42,01286089;95,71561969
2018-02;20666,8;-0,109089581;-0,140805495;-0,230524046;95,10935738;52,02099738;74,29032258
